Sample_ID	DNA_concentration	k__Bacteria	k__Archaea	k__Eukaryota	unclassified	bac_frac	Sample_type	log_copies_per_extraction	Plate	alpha
P10A01	15.87	97.60905048065368	0	0	2.39095	0.9457638160951648	next_day	9.123023723033084	P10	1.7464611207625975
P10B01	11.42	88.61210823418426	0	0	11.38789	0.9319804829097126	next_day	9.06801034313798	P10	1.9163961082685952
P10C01	5.45	89.80795088340844	0	0	10.19205	0.968792572634076	next_day	8.76694277949614	P10	0.421732260850642
P10D01	63.29	94.28572306465834	0	0.0199833791954526	5.69429	0.9478549193008468	next_day	9.757550643987251	P10	2.8650618873949454
P10E01	15.82	87.80518752003668	0	0	12.19481	0.9468107351007184	next_day	9.013365395393976	P10	0.5306036280384788
P10F01	60	95.8048281536534	0	0	4.19517	0.929147204895795	next_day	9.601273241731684	P10	3.679746648695081
P10G01	100.6	94.98396105319364	0	0	5.01604	0.9500420209701156	next_day	9.99929187004392	P10	2.422993013084396
P10H01	111.73	95.48944861044336	0	0	4.51055	0.9292758090714732	next_day	9.824134880579203	P10	3.9172436150360097
P10A02	7.83	94.24650371657324	0	0.0222474252694748	5.73125	0.9006487808493491	next_day	8.766971655585671	P10	0.572536614093219
P10B02	71.2	100	0	0	0	0.934312514412802	next_day	9.501556145933296	P10	2.632062658521043
P10C02	25.87	93.86914927024506	0	0	6.13085	0.923733124369833	next_day	9.216769736069024	P10	2.1684937684279446
P10D02	32.44	94.26900220342908	0	0	5.731	0.9268062432801156	next_day	9.37733622880056	P10	2.1541406916021915
P10E02	113.13	90.29248250806113	0	0	9.70752	0.946492722153034	next_day	9.8718171178377645	P10	2.3982332274096425
P10F02	10.18	86.7907741334078	0	0	13.20923	0.9672542554887308	next_day	8.870025560458728	P10	1.0711702304508417
P10G02	40.38	90.3840641306657	0	0	9.61594	0.9367399834915572	next_day	9.579310631296025	P10	2.1339004893761873
P10H02	75.22	87.64073620398126	0	0	12.35926	0.9576625248052132	next_day	9.68632500363109	P10	2.6331963650687267
P10A03	63.02	99.98260076436364	0	0	0.0174	0.9158415309289544	next_day	9.56687021957698	P10	2.9673993357308315
P10B03	55.84	94.727421189094	0	0	5.27258	0.9187740933712346	next_day	9.451433221107578	P10	2.365012590641772
P10C03	87.7	94.2388902424172	0	0	5.76111	0.9152290236032988	next_day	9.586690234659487	P10	2.4099459572255135
P10D03	105.99	100	0	0	0	0.20886019846328205	next_day	8.950549747631516	P10	2.548964984764416
P10E03	115.03	96.04810699705016	0	0	3.95189	0.9434968508709516	next_day	9.880767849657762	P10	3.5092730619287056
P10F03	33.86	100	0	0	0	0.9038369718110072	next_day	9.28632615454804	P10	1.1257909349471482
P10G03	13.1	92.85103434983549	0	0	7.14897	0.8996719917518656	next_day	9.133566846251542	P10	0.427837120428049
P10H03	88.53	94.94907175588398	0	0	5.05093	0.9391095483806748	next_day	9.763670849540247	P10	3.312253076159083
P10A04	1.61	79.96360794172568	0	0.0617235381704438	19.97467	0.89038367997969	next_day	6.883083225231252	P10	2.534456504174503
P10B04	17.3	91.8969251139376	0	0	8.10307	0.9371080498043508	next_day	8.843531195963049	P10	3.551997059411316
P10C04	9.8	92.68141197267748	0	0	7.31859	0.9115562237039292	next_day	8.719649229797165	P10	3.34537323244067
P10D04	74.34	93.89580509773238	0	0	6.10419	0.9314612722917222	next_day	9.639442630380817	P10	3.467693760935261
P10E04	9.16	100	0	0	0	0.9354836209213914	next_day	8.637107800464966	P10	3.626483774373002
P10F04	84.26	87.58626492703192	0	0	12.41374	0.92211524554051	next_day	9.51796380178613	P10	3.1880618073119846
P10G04	35.49	64.21370859322964	1.5386108502083946	0	34.24768	0.8432019874632186	next_day	8.964067660194866	P10	3.1506985604071738
P10H04	72.32	98.11256500789727	0	0	1.88743	0.91954478317247	next_day	9.561158409546463	P10	1.065067390029227
P10A05	21.87	68.1133221839196	0	0	31.88668	0.90820211550479	next_day	9.030518746253884	P10	2.176818166753697
P10B05	58.48	100	0	0	0	0.9208359005556775	next_day	9.78633774174418	P10	0.7363831353121039
P10C05	60.04	95.24731077345557	0	0	4.75269	0.889418348258634	next_day	9.736551602854451	P10	0.6210309743056485
P10D05	27.14	98.51948346124408	0	0	1.48052	0.921902877304442	next_day	9.422955843114623	P10	0.3734910619020784
P10E05	45.94	100	0	0	0	0.9166975756568188	next_day	9.426032091052868	P10	2.88922614200362
P10F05	65.27	95.15231051150246	0	0.0206239749032041	4.82707	0.9406623151518512	same_day	9.62353091251508	P10	3.0537680881770872
P10G05	33.51	92.60301628158392	0	0	7.39698	0.9590204812883952	same_day	9.4265764743239	P10	3.3350233322582827
P10H05	10.45	98.47259104033928	0	0	1.52741	0.9368752976431276	same_day	8.688717665472184	P10	3.5258712616673025
P10A06	10.55	87.55615898257435	0	0	12.44384	0.976684562074124	same_day	8.651904724138296	P10	3.2913313601436047
P10B06	33.5	82.56513512937462	0	0	17.43486	0.9558551682560804	same_day	9.392507874088436	P10	3.248996961442134
P10C06	104.01	94.76874051158936	0	0	5.23126	0.9310792942727344	same_day	9.614278685862358	P10	3.648635231179517
P10D06	89.46	93.85294936960268	0	0.009226651902914	6.13782	0.94864091686009	same_day	9.626889642921505	P10	2.7235061041508986
P10E06	106.71	95.08025286465266	0	0	4.91975	0.9174204810247528	same_day	9.760805262576357	P10	3.695372591439783
P10F06	7.21	87.16921793669387	0	0	12.83078	0.9583800579600488	same_day	8.26965416774682	P10	0.4878542037353006
P10G06	189.12	94.4387187445085	0	0	5.56128	0.928869997545475	same_day	9.987303038131053	P10	3.8515393598847223
P10H06	29.93	88.09792969933122	0	0	11.90207	0.9369003028336484	same_day	9.248068010830044	P10	0.4820830687106145
P10A07	5.97	57.888317124134815	0	0	42.11168	0.9239265164417072	next_day	8.326942397425304	P10	1.8786960557698529
P10B07	223.36	82.44335914459813	0	0	17.55664	0.9448640679213892	next_day	10.284608520840836	P10	3.1351426242001303
P10C07	163.34	95.2505597578392	0	0	4.74944	0.9651424534582156	next_day	9.758284063945924	P10	3.0542355832729755
P10D07	5.43	10.05966054105654	0.0022568880793551	0	89.93808	0.9195633895453584	next_day	6.522878745280337	P10	0.6577139152818239
P10E07	248.59	89.80575450960241	0	0	10.19425	0.9543634481453466	next_day	10.025863190019328	P10	2.630768864870267
P10F07	113.49	93.12651013364794	0	0	6.87349	0.9669977833343674	next_day	9.58301319034954	P10	3.3433158119102884
